shipment_id,order_id,carrier,distance_km,shipping_cost,delivery_time_days,promised_days,delivery_status
SHP_ORD_00120,ORD_00120,DTDC,1030.82,2885.66,1,1,On-Time
SHP_ORD_00121,ORD_00121,DTDC,1978.37,7607.98,1,1,On-Time
SHP_ORD_00122,ORD_00122,Delhivery,1294.25,3621.25,3,3,On-Time
SHP_ORD_00123,ORD_00123,BlueDart,1395.95,6938.19,5,4,Late
SHP_ORD_00124,ORD_00124,DTDC,850.02,4123.92,4,4,On-Time
SHP_ORD_00125,ORD_00125,FedEx,1100.61,3178.95,4,3,Late
SHP_ORD_00126,ORD_00126,BlueDart,1949.23,7947.50,4,4,On-Time
SHP_ORD_00127,ORD_00127,DTDC,1037.41,3572.42,2,2,On-Time
SHP_ORD_00128,ORD_00128,Delhivery,834.51,3187.34,4,4,On-Time
SHP_ORD_00129,ORD_00129,FedEx,1992.87,6815.97,2,1,Late
SHP_ORD_00130,ORD_00130,DTDC,49.55,171.06,1,1,On-Time
SHP_ORD_00131,ORD_00131,FedEx,764.27,2925.02,2,2,On-Time
SHP_ORD_00132,ORD_00132,DTDC,1117.54,3088.57,6,4,Late
SHP_ORD_00133,ORD_00133,BlueDart,1391.52,5384.98,1,1,On-Time
SHP_ORD_00134,ORD_00134,DTDC,346.25,1560.93,2,2,On-Time
SHP_ORD_00135,ORD_00135,DTDC,1661.33,5716.23,4,4,On-Time
SHP_ORD_00136,ORD_00136,FedEx,887.35,3641.88,2,2,On-Time
SHP_ORD_00137,ORD_00137,FedEx,1983.96,8178.52,3,3,On-Time
SHP_ORD_00138,ORD_00138,DTDC,396.22,1823.83,1,1,On-Time
SHP_ORD_00139,ORD_00139,Delhivery,1740.32,6147.40,4,4,On-Time
SHP_ORD_00140,ORD_00140,FedEx,1436.39,6871.69,4,4,On-Time
SHP_ORD_00141,ORD_00141,Delhivery,1026.43,4990.73,1,1,On-Time
SHP_ORD_00142,ORD_00142,Delhivery,422.91,1403.14,1,1,On-Time
SHP_ORD_00143,ORD_00143,BlueDart,1080.83,4800.15,3,1,Late
SHP_ORD_00144,ORD_00144,FedEx,26.15,77.50,2,2,On-Time
SHP_ORD_00145,ORD_00145,BlueDart,1846.91,6084.66,3,3,On-Time
SHP_ORD_00146,ORD_00146,DTDC,1416.04,3802.95,1,1,On-Time
SHP_ORD_00147,ORD_00147,BlueDart,1808.57,9022.34,4,4,On-Time
SHP_ORD_00148,ORD_00148,FedEx,627.99,1977.84,2,2,On-Time
SHP_ORD_00149,ORD_00149,Delhivery,661.21,2718.42,2,2,On-Time
SHP_ORD_00150,ORD_00150,Delhivery,594.23,2655.17,2,2,On-Time
SHP_ORD_00151,ORD_00151,BlueDart,510.10,2275.39,2,2,On-Time
SHP_ORD_00152,ORD_00152,Delhivery,694.45,2997.02,4,4,On-Time
SHP_ORD_00153,ORD_00153,BlueDart,1568.07,6254.22,4,4,On-Time
SHP_ORD_00154,ORD_00154,DTDC,707.00,2127.03,4,4,On-Time
SHP_ORD_00155,ORD_00155,Delhivery,718.95,3384.23,5,3,Late
SHP_ORD_00156,ORD_00156,FedEx,952.27,3660.08,3,3,On-Time
SHP_ORD_00157,ORD_00157,DTDC,1444.13,7054.70,2,2,On-Time
SHP_ORD_00158,ORD_00158,FedEx,521.07,2418.99,3,3,On-Time
SHP_ORD_00159,ORD_00159,FedEx,1213.03,4711.07,5,4,Late
SHP_ORD_00160,ORD_00160,BlueDart,90.78,331.66,3,1,Late
SHP_ORD_00161,ORD_00161,FedEx,262.92,696.33,4,4,On-Time
SHP_ORD_00162,ORD_00162,DTDC,1231.00,4720.41,1,1,On-Time
SHP_ORD_00163,ORD_00163,DTDC,893.89,4045.40,2,2,On-Time
SHP_ORD_00164,ORD_00164,DTDC,678.22,2462.03,2,2,On-Time
SHP_ORD_00165,ORD_00165,BlueDart,32.10,116.40,2,2,On-Time
SHP_ORD_00166,ORD_00166,BlueDart,1678.30,6224.14,1,1,On-Time
SHP_ORD_00167,ORD_00167,FedEx,1555.07,5386.06,4,4,On-Time
SHP_ORD_00168,ORD_00168,BlueDart,699.93,2474.76,2,2,On-Time
SHP_ORD_00169,ORD_00169,FedEx,939.03,3290.96,4,2,Late
SHP_ORD_00170,ORD_00170,Delhivery,744.03,3357.98,2,2,On-Time
SHP_ORD_00171,ORD_00171,Delhivery,1171.13,3442.86,2,2,On-Time
SHP_ORD_00172,ORD_00172,Delhivery,1175.28,4726.21,3,3,On-Time
SHP_ORD_00173,ORD_00173,Delhivery,1702.19,6950.46,3,3,On-Time
SHP_ORD_00174,ORD_00174,FedEx,1911.14,6371.48,4,4,On-Time
SHP_ORD_00175,ORD_00175,BlueDart,254.46,696.54,1,1,On-Time
SHP_ORD_00176,ORD_00176,DTDC,970.85,3482.16,2,2,On-Time
SHP_ORD_00177,ORD_00177,Delhivery,238.22,1152.44,4,4,On-Time
SHP_ORD_00178,ORD_00178,BlueDart,369.83,1475.16,2,2,On-Time
SHP_ORD_00179,ORD_00179,Delhivery,1704.29,7685.22,5,4,Late
SHP_ORD_00180,ORD_00180,FedEx,1060.61,4740.63,1,1,On-Time
SHP_ORD_00181,ORD_00181,Delhivery,848.95,3205.20,3,3,On-Time
SHP_ORD_00182,ORD_00182,Delhivery,1830.43,4855.99,4,4,On-Time
SHP_ORD_00183,ORD_00183,FedEx,1868.32,6298.58,2,2,On-Time
SHP_ORD_00184,ORD_00184,DTDC,1740.82,7786.97,3,3,On-Time
SHP_ORD_00185,ORD_00185,DTDC,1960.41,9670.92,2,2,On-Time
SHP_ORD_00186,ORD_00186,DTDC,1994.38,9367.75,1,1,On-Time
SHP_ORD_00187,ORD_00187,Delhivery,585.73,2501.62,4,4,On-Time
SHP_ORD_00188,ORD_00188,BlueDart,1471.02,4932.07,2,1,Late
SHP_ORD_00189,ORD_00189,FedEx,1496.74,5455.69,1,1,On-Time
SHP_ORD_00190,ORD_00190,FedEx,1705.36,6302.36,4,4,On-Time
SHP_ORD_00191,ORD_00191,BlueDart,983.84,4115.78,6,4,Late
SHP_ORD_00192,ORD_00192,DTDC,1300.36,6071.00,4,3,Late
SHP_ORD_00193,ORD_00193,FedEx,1322.60,5336.24,3,3,On-Time
SHP_ORD_00194,ORD_00194,FedEx,1827.84,5848.21,1,1,On-Time
SHP_ORD_00195,ORD_00195,FedEx,1389.29,4950.99,5,4,Late
SHP_ORD_00196,ORD_00196,DTDC,1520.95,3823.54,3,2,Late
SHP_ORD_00197,ORD_00197,FedEx,983.56,3385.32,1,1,On-Time
SHP_ORD_00198,ORD_00198,FedEx,619.39,1870.67,2,2,On-Time
SHP_ORD_00199,ORD_00199,Delhivery,788.92,2835.09,4,4,On-Time
SHP_ORD_00200,ORD_00200,Delhivery,519.93,2227.38,1,1,On-Time
SHP_ORD_00201,ORD_00201,Delhivery,1283.08,3815.87,1,1,On-Time
SHP_ORD_00202,ORD_00202,Delhivery,1028.50,4499.72,1,1,On-Time
SHP_ORD_00203,ORD_00203,BlueDart,1774.24,4811.71,2,2,On-Time
SHP_ORD_00204,ORD_00204,DTDC,1097.21,3002.43,2,1,Late
SHP_ORD_00205,ORD_00205,Delhivery,562.10,1946.36,2,2,On-Time
SHP_ORD_00206,ORD_00206,FedEx,1475.11,6566.38,4,4,On-Time
SHP_ORD_00207,ORD_00207,FedEx,1608.40,7728.86,1,1,On-Time
SHP_ORD_00208,ORD_00208,BlueDart,1691.08,4821.85,1,1,On-Time
SHP_ORD_00209,ORD_00209,BlueDart,785.29,3705.20,3,1,Late
SHP_ORD_00210,ORD_00210,BlueDart,914.02,2311.34,3,3,On-Time
SHP_ORD_00211,ORD_00211,FedEx,1662.03,4628.07,2,2,On-Time
SHP_ORD_00212,ORD_00212,FedEx,1923.77,5555.92,1,1,On-Time
SHP_ORD_00213,ORD_00213,Delhivery,1743.79,6966.53,4,4,On-Time
SHP_ORD_00214,ORD_00214,Delhivery,664.06,2735.86,5,3,Late
SHP_ORD_00215,ORD_00215,DTDC,1945.78,6202.27,3,3,On-Time
SHP_ORD_00216,ORD_00216,DTDC,1894.65,7579.15,3,3,On-Time
SHP_ORD_00217,ORD_00217,DTDC,124.45,348.25,2,2,On-Time
SHP_ORD_00218,ORD_00218,FedEx,735.01,2416.27,2,2,On-Time
SHP_ORD_00219,ORD_00219,DTDC,129.83,440.17,4,4,On-Time
SHP_ORD_00220,ORD_00220,Delhivery,355.96,1238.17,3,1,Late
SHP_ORD_00221,ORD_00221,BlueDart,1814.78,9067.56,1,1,On-Time
SHP_ORD_00222,ORD_00222,BlueDart,1382.52,4636.51,2,2,On-Time
SHP_ORD_00223,ORD_00223,FedEx,578.79,1984.55,4,4,On-Time
SHP_ORD_00224,ORD_00224,BlueDart,255.88,1121.43,1,1,On-Time
SHP_ORD_00225,ORD_00225,DTDC,1861.52,6081.02,3,3,On-Time
SHP_ORD_00226,ORD_00226,Delhivery,1912.32,5946.55,2,2,On-Time
SHP_ORD_00227,ORD_00227,BlueDart,949.63,4622.15,4,4,On-Time
SHP_ORD_00228,ORD_00228,Delhivery,1334.59,6526.02,2,2,On-Time
SHP_ORD_00229,ORD_00229,Delhivery,742.73,3355.13,2,2,On-Time
SHP_ORD_00230,ORD_00230,BlueDart,970.99,3991.18,2,2,On-Time
SHP_ORD_00231,ORD_00231,FedEx,198.61,498.56,1,1,On-Time
SHP_ORD_00232,ORD_00232,DTDC,1409.46,6479.54,1,1,On-Time
SHP_ORD_00233,ORD_00233,Delhivery,1846.16,6841.99,2,2,On-Time
SHP_ORD_00234,ORD_00234,BlueDart,983.68,2592.47,2,2,On-Time
SHP_ORD_00235,ORD_00235,Delhivery,602.95,1659.59,1,1,On-Time
SHP_ORD_00236,ORD_00236,BlueDart,1789.78,8112.62,2,2,On-Time
SHP_ORD_00237,ORD_00237,Delhivery,1480.76,6378.59,5,4,Late
SHP_ORD_00238,ORD_00238,DTDC,1777.70,8652.78,1,1,On-Time
SHP_ORD_00239,ORD_00239,BlueDart,490.15,1298.43,4,4,On-Time
SHP_ORD_00240,ORD_00240,DTDC,1290.02,4176.64,3,3,On-Time
SHP_ORD_00241,ORD_00241,BlueDart,931.32,2665.27,1,1,On-Time
SHP_ORD_00242,ORD_00242,DTDC,973.45,3220.04,3,3,On-Time
SHP_ORD_00243,ORD_00243,DTDC,1420.53,3632.08,3,3,On-Time
SHP_ORD_00244,ORD_00244,BlueDart,1255.47,3393.26,1,1,On-Time
SHP_ORD_00245,ORD_00245,BlueDart,1650.67,4376.45,4,4,On-Time
SHP_ORD_00246,ORD_00246,DTDC,1911.84,7548.60,4,3,Late
SHP_ORD_00247,ORD_00247,BlueDart,1849.45,7704.54,3,3,On-Time
SHP_ORD_00248,ORD_00248,Delhivery,1299.98,6218.38,3,3,On-Time
SHP_ORD_00249,ORD_00249,Delhivery,1930.08,7094.19,6,4,Late
SHP_ORD_00250,ORD_00250,Delhivery,1043.33,4508.31,1,1,On-Time
SHP_ORD_00251,ORD_00251,Delhivery,1833.28,7699.95,4,4,On-Time
SHP_ORD_00252,ORD_00252,DTDC,1087.18,3050.58,2,2,On-Time
SHP_ORD_00253,ORD_00253,Delhivery,826.45,3507.42,4,4,On-Time
SHP_ORD_00254,ORD_00254,DTDC,196.32,779.93,2,2,On-Time
SHP_ORD_00255,ORD_00255,BlueDart,336.02,1405.89,2,2,On-Time
SHP_ORD_00256,ORD_00256,DTDC,1996.96,6277.97,4,4,On-Time
SHP_ORD_00257,ORD_00257,Delhivery,528.98,2307.48,3,3,On-Time
SHP_ORD_00258,ORD_00258,DTDC,365.21,1458.39,2,2,On-Time
SHP_ORD_00259,ORD_00259,FedEx,1096.81,4444.42,2,2,On-Time
SHP_ORD_00260,ORD_00260,FedEx,1065.14,3376.54,4,2,Late
SHP_ORD_00261,ORD_00261,DTDC,330.59,1036.31,4,2,Late
SHP_ORD_00262,ORD_00262,Delhivery,241.93,1136.44,4,4,On-Time
SHP_ORD_00263,ORD_00263,FedEx,1680.94,5540.40,1,1,On-Time
SHP_ORD_00264,ORD_00264,Delhivery,1275.39,6147.93,1,1,On-Time
SHP_ORD_00265,ORD_00265,Delhivery,1931.29,8949.40,3,2,Late
SHP_ORD_00266,ORD_00266,BlueDart,1359.12,6560.21,4,4,On-Time
SHP_ORD_00267,ORD_00267,Delhivery,1900.91,5199.64,2,2,On-Time
SHP_ORD_00268,ORD_00268,BlueDart,1859.06,7055.53,2,2,On-Time
SHP_ORD_00269,ORD_00269,BlueDart,1748.91,6758.65,2,2,On-Time
SHP_ORD_00270,ORD_00270,FedEx,62.54,174.03,4,4,On-Time
SHP_ORD_00271,ORD_00271,Delhivery,1062.47,3099.47,3,3,On-Time
SHP_ORD_00272,ORD_00272,FedEx,1922.19,5697.40,2,2,On-Time
SHP_ORD_00273,ORD_00273,Delhivery,1462.47,6529.71,4,4,On-Time
SHP_ORD_00274,ORD_00274,FedEx,686.14,2974.68,3,3,On-Time
SHP_ORD_00275,ORD_00275,DTDC,286.93,862.72,5,4,Late
SHP_ORD_00276,ORD_00276,Delhivery,331.36,1087.22,3,1,Late
SHP_ORD_00277,ORD_00277,Delhivery,106.77,390.30,1,1,On-Time
SHP_ORD_00278,ORD_00278,Delhivery,454.47,1177.95,2,2,On-Time
SHP_ORD_00279,ORD_00279,BlueDart,1443.17,5749.53,4,4,On-Time
SHP_ORD_00280,ORD_00280,FedEx,1432.92,3680.54,4,3,Late
SHP_ORD_00281,ORD_00281,FedEx,847.70,2899.55,2,2,On-Time
SHP_ORD_00282,ORD_00282,Delhivery,418.01,1853.22,6,4,Late
SHP_ORD_00283,ORD_00283,Delhivery,194.13,775.18,2,2,On-Time
SHP_ORD_00284,ORD_00284,DTDC,582.05,1474.24,1,1,On-Time
SHP_ORD_00285,ORD_00285,DTDC,1005.39,3754.57,2,2,On-Time
SHP_ORD_00286,ORD_00286,BlueDart,943.28,2674.40,4,4,On-Time
SHP_ORD_00287,ORD_00287,Delhivery,541.27,2531.91,4,4,On-Time
SHP_ORD_00288,ORD_00288,FedEx,74.49,189.28,4,4,On-Time
SHP_ORD_00289,ORD_00289,BlueDart,1211.77,4120.54,2,2,On-Time
SHP_ORD_00290,ORD_00290,FedEx,1848.38,5003.81,3,3,On-Time
SHP_ORD_00291,ORD_00291,FedEx,1664.21,5201.51,2,2,On-Time
SHP_ORD_00292,ORD_00292,Delhivery,101.96,302.17,4,4,On-Time
SHP_ORD_00293,ORD_00293,Delhivery,137.68,368.30,3,2,Late
SHP_ORD_00294,ORD_00294,DTDC,507.63,1789.71,5,3,Late
SHP_ORD_00295,ORD_00295,BlueDart,405.71,1743.84,4,4,On-Time
SHP_ORD_00296,ORD_00296,FedEx,805.37,2842.90,6,4,Late
SHP_ORD_00297,ORD_00297,Delhivery,1640.79,8024.95,2,2,On-Time
SHP_ORD_00298,ORD_00298,BlueDart,644.16,1975.55,3,3,On-Time
SHP_ORD_00299,ORD_00299,BlueDart,170.37,812.38,3,2,Late
SHP_ORD_00300,ORD_00300,DTDC,1466.80,4736.00,1,1,On-Time
SHP_ORD_00301,ORD_00301,FedEx,69.98,225.94,4,3,Late
SHP_ORD_00302,ORD_00302,DTDC,1867.65,6121.23,3,3,On-Time
SHP_ORD_00303,ORD_00303,BlueDart,1246.15,4408.23,3,3,On-Time
SHP_ORD_00304,ORD_00304,DTDC,675.54,2560.26,2,2,On-Time
SHP_ORD_00305,ORD_00305,DTDC,1699.67,7919.01,2,1,Late
SHP_ORD_00306,ORD_00306,Delhivery,479.14,2200.05,3,3,On-Time
SHP_ORD_00307,ORD_00307,Delhivery,1657.05,5105.81,2,1,Late
SHP_ORD_00308,ORD_00308,DTDC,885.17,3069.26,2,2,On-Time
SHP_ORD_00309,ORD_00309,FedEx,1166.37,5021.81,3,2,Late
SHP_ORD_00310,ORD_00310,FedEx,739.77,1965.57,3,1,Late
SHP_ORD_00311,ORD_00311,Delhivery,1854.13,7232.40,4,4,On-Time
SHP_ORD_00312,ORD_00312,BlueDart,635.13,2853.32,2,2,On-Time
SHP_ORD_00313,ORD_00313,BlueDart,1767.05,7572.83,3,3,On-Time
SHP_ORD_00314,ORD_00314,FedEx,577.22,1782.88,2,2,On-Time
SHP_ORD_00315,ORD_00315,BlueDart,1006.68,3011.71,1,1,On-Time
SHP_ORD_00316,ORD_00316,FedEx,447.69,1129.46,4,4,On-Time
SHP_ORD_00317,ORD_00317,BlueDart,1965.17,6686.56,1,1,On-Time
SHP_ORD_00318,ORD_00318,BlueDart,618.32,2700.19,3,3,On-Time
SHP_ORD_00319,ORD_00319,FedEx,1602.49,4965.41,4,3,Late
SHP_ORD_00320,ORD_00320,Delhivery,1983.09,9836.37,1,1,On-Time
SHP_ORD_00321,ORD_00321,BlueDart,1361.18,5481.76,1,1,On-Time
SHP_ORD_00322,ORD_00322,FedEx,1788.12,7224.16,3,3,On-Time
SHP_ORD_00323,ORD_00323,Delhivery,1509.20,4492.59,3,3,On-Time
SHP_ORD_00324,ORD_00324,BlueDart,1886.61,6768.82,2,2,On-Time
SHP_ORD_00325,ORD_00325,BlueDart,778.87,3399.82,3,3,On-Time
SHP_ORD_00326,ORD_00326,BlueDart,1511.72,5638.80,1,1,On-Time
SHP_ORD_00327,ORD_00327,BlueDart,1460.69,5337.09,3,1,Late
SHP_ORD_00328,ORD_00328,BlueDart,476.64,1222.29,1,1,On-Time
SHP_ORD_00329,ORD_00329,BlueDart,652.22,1733.09,1,1,On-Time
SHP_ORD_00330,ORD_00330,Delhivery,1738.32,7934.01,4,4,On-Time
SHP_ORD_00331,ORD_00331,DTDC,1351.61,4933.57,2,2,On-Time
SHP_ORD_00332,ORD_00332,FedEx,1125.69,3919.99,4,4,On-Time
SHP_ORD_00333,ORD_00333,FedEx,160.76,715.59,2,2,On-Time
SHP_ORD_00334,ORD_00334,Delhivery,204.30,877.48,5,4,Late
