order_id,order_date,ship_date,sku_id,quantity,zone,picker_id,processing_time_min,order_value,on_time_flag,priority
ORD_00126,19-05-2024,20-05-2024,SKU_0214,37,A,PCK_006,89,6303.33,1,Medium
ORD_00127,21-06-2024,24-06-2024,SKU_0254,39,C,PCK_006,33,21353.77,1,High
ORD_00128,23-02-2024,26-02-2024,SKU_0005,33,A,PCK_010,27,15784.55,1,Medium
ORD_00129,14-01-2024,17-01-2024,SKU_0146,44,D,PCK_015,78,6263.27,0,High
ORD_00130,04-03-2024,05-03-2024,SKU_0259,37,C,PCK_015,30,4871.93,1,High
ORD_00131,27-04-2024,30-04-2024,SKU_0058,10,B,PCK_011,101,13894.09,1,Low
ORD_00132,28-04-2024,29-04-2024,SKU_0235,25,B,PCK_009,86,1932.14,0,High
ORD_00133,19-02-2024,22-02-2024,SKU_0173,3,B,PCK_010,44,17531.04,1,High
ORD_00134,18-04-2024,19-04-2024,SKU_0208,39,C,PCK_014,48,17464.69,1,High
ORD_00135,30-05-2024,02-06-2024,SKU_0206,38,B,PCK_004,55,15278.88,1,High
ORD_00136,21-01-2024,22-01-2024,SKU_0245,40,B,PCK_011,48,2445.77,1,High
ORD_00137,14-03-2024,17-03-2024,SKU_0134,33,B,PCK_013,45,10329.10,1,Medium
ORD_00138,29-04-2024,02-05-2024,SKU_0137,49,C,PCK_011,50,2200.88,1,Low
ORD_00139,03-04-2024,04-04-2024,SKU_0294,32,C,PCK_001,69,2213.32,1,Low
ORD_00140,21-04-2024,25-04-2024,SKU_0185,44,A,PCK_008,111,16446.50,1,Low
ORD_00141,05-06-2024,07-06-2024,SKU_0061,23,C,PCK_015,12,16902.43,1,High
ORD_00142,30-03-2024,31-03-2024,SKU_0208,23,C,PCK_017,111,24889.27,1,Low
ORD_00143,13-03-2024,15-03-2024,SKU_0061,36,C,PCK_010,17,14276.27,0,Low
ORD_00144,03-05-2024,06-05-2024,SKU_0114,16,B,PCK_008,102,18993.53,1,Medium
ORD_00145,22-03-2024,23-03-2024,SKU_0079,12,C,PCK_015,39,20634.26,1,Medium
ORD_00146,31-05-2024,04-06-2024,SKU_0282,16,B,PCK_016,21,19988.52,1,High
ORD_00147,09-01-2024,13-01-2024,SKU_0042,5,D,PCK_017,32,24367.03,1,Low
ORD_00148,30-03-2024,31-03-2024,SKU_0186,21,A,PCK_003,117,21129.82,1,High
ORD_00149,31-01-2024,02-02-2024,SKU_0281,32,B,PCK_017,31,19803.60,1,Low
ORD_00150,02-05-2024,06-05-2024,SKU_0275,34,B,PCK_005,25,19659.69,1,Medium
ORD_00151,14-06-2024,15-06-2024,SKU_0267,45,A,PCK_015,45,6070.25,1,Low
ORD_00152,25-04-2024,27-04-2024,SKU_0106,9,D,PCK_019,94,23455.47,1,High
ORD_00153,21-06-2024,25-06-2024,SKU_0262,26,A,PCK_015,76,7352.74,1,Medium
ORD_00154,14-02-2024,16-02-2024,SKU_0068,43,D,PCK_017,64,23025.10,1,Medium
ORD_00155,13-05-2024,14-05-2024,SKU_0289,12,D,PCK_002,69,10080.55,0,Low
ORD_00156,30-03-2024,01-04-2024,SKU_0158,35,D,PCK_001,51,20527.52,1,Medium
ORD_00157,22-04-2024,24-04-2024,SKU_0002,3,A,PCK_007,115,18174.84,1,High
ORD_00158,09-06-2024,11-06-2024,SKU_0217,21,A,PCK_012,61,2482.52,1,Low
ORD_00159,29-03-2024,31-03-2024,SKU_0031,14,D,PCK_003,100,5978.55,0,High
ORD_00160,02-03-2024,03-03-2024,SKU_0147,33,B,PCK_014,19,14591.50,0,High
ORD_00161,03-02-2024,04-02-2024,SKU_0216,46,D,PCK_012,23,15353.20,1,Medium
ORD_00162,27-06-2024,30-06-2024,SKU_0194,25,A,PCK_013,12,10267.24,1,Low
ORD_00163,25-01-2024,29-01-2024,SKU_0277,4,C,PCK_005,107,12216.73,1,High
ORD_00164,07-01-2024,08-01-2024,SKU_0092,32,D,PCK_018,77,13963.47,1,Low
ORD_00165,24-02-2024,25-02-2024,SKU_0066,20,A,PCK_008,101,23443.00,1,High
ORD_00166,08-06-2024,11-06-2024,SKU_0153,29,D,PCK_015,69,16200.24,1,Low
ORD_00167,05-06-2024,09-06-2024,SKU_0195,31,B,PCK_008,11,9437.56,1,Medium
ORD_00168,11-06-2024,13-06-2024,SKU_0178,2,C,PCK_005,92,11765.11,1,High
ORD_00169,28-02-2024,29-02-2024,SKU_0058,15,D,PCK_002,59,15677.69,0,Low
ORD_00170,19-04-2024,20-04-2024,SKU_0009,9,B,PCK_008,92,3985.11,1,High
ORD_00171,03-01-2024,06-01-2024,SKU_0052,16,A,PCK_020,119,4855.28,1,Medium
ORD_00172,04-05-2024,08-05-2024,SKU_0025,17,A,PCK_008,13,24919.07,1,Medium
ORD_00173,29-01-2024,30-01-2024,SKU_0225,38,B,PCK_008,61,15785.45,1,High
ORD_00174,09-05-2024,10-05-2024,SKU_0072,35,C,PCK_017,72,22221.80,1,High
ORD_00175,27-05-2024,29-05-2024,SKU_0295,37,C,PCK_011,101,20774.68,1,High
ORD_00176,21-05-2024,23-05-2024,SKU_0155,27,B,PCK_005,14,6590.22,1,Medium
ORD_00177,02-05-2024,05-05-2024,SKU_0154,23,A,PCK_009,111,14762.63,1,Low
ORD_00178,09-04-2024,10-04-2024,SKU_0090,21,D,PCK_014,48,5772.45,1,High
ORD_00179,11-05-2024,12-05-2024,SKU_0177,37,C,PCK_013,118,5371.98,0,Low
ORD_00180,23-06-2024,24-06-2024,SKU_0214,11,B,PCK_014,45,3188.54,1,Medium
ORD_00181,17-02-2024,21-02-2024,SKU_0193,26,D,PCK_006,61,2903.02,1,High
ORD_00182,20-04-2024,24-04-2024,SKU_0116,18,B,PCK_010,43,6465.21,1,Medium
ORD_00183,02-06-2024,03-06-2024,SKU_0030,38,D,PCK_018,114,10164.67,1,Medium
ORD_00184,22-03-2024,23-03-2024,SKU_0286,17,B,PCK_017,51,3762.05,1,Medium
ORD_00185,24-02-2024,25-02-2024,SKU_0125,48,B,PCK_009,50,20317.64,1,Medium
ORD_00186,11-04-2024,13-04-2024,SKU_0041,40,C,PCK_015,19,1441.45,1,High
ORD_00187,31-03-2024,03-04-2024,SKU_0275,22,A,PCK_007,84,16654.17,1,Medium
ORD_00188,06-02-2024,07-02-2024,SKU_0194,24,A,PCK_020,88,2132.97,0,High
ORD_00189,31-01-2024,04-02-2024,SKU_0097,23,B,PCK_019,78,24712.74,1,Medium
ORD_00190,02-03-2024,06-03-2024,SKU_0107,43,C,PCK_011,86,2577.40,1,High
ORD_00191,20-01-2024,24-01-2024,SKU_0109,17,A,PCK_007,60,3081.50,0,Low
ORD_00192,30-03-2024,03-04-2024,SKU_0246,46,B,PCK_008,30,9154.66,0,Medium
ORD_00193,16-01-2024,19-01-2024,SKU_0123,28,C,PCK_018,61,23586.73,1,Medium
ORD_00194,17-06-2024,18-06-2024,SKU_0195,32,C,PCK_015,67,13965.59,1,Medium
ORD_00195,27-04-2024,29-04-2024,SKU_0134,48,D,PCK_012,19,2524.13,0,Medium
ORD_00196,11-06-2024,15-06-2024,SKU_0051,25,C,PCK_016,104,19345.97,0,High
ORD_00197,29-05-2024,31-05-2024,SKU_0190,36,D,PCK_011,88,755.48,1,High
ORD_00198,01-04-2024,02-04-2024,SKU_0289,10,B,PCK_008,87,16275.65,1,High
ORD_00199,06-04-2024,09-04-2024,SKU_0134,13,D,PCK_018,21,24509.27,1,Medium
ORD_00200,26-01-2024,30-01-2024,SKU_0079,34,C,PCK_007,104,20388.36,1,High
ORD_00201,02-05-2024,03-05-2024,SKU_0195,9,B,PCK_019,24,23238.05,1,Medium
ORD_00202,21-01-2024,23-01-2024,SKU_0282,25,C,PCK_011,68,11265.42,1,Medium
ORD_00203,07-03-2024,11-03-2024,SKU_0252,32,B,PCK_015,39,3476.78,1,Low
ORD_00204,25-05-2024,28-05-2024,SKU_0181,30,B,PCK_006,30,16950.65,0,Low
ORD_00205,29-05-2024,30-05-2024,SKU_0280,21,B,PCK_016,21,13828.41,1,Low
ORD_00206,06-01-2024,08-01-2024,SKU_0031,40,A,PCK_017,30,21128.96,1,High
ORD_00207,21-05-2024,25-05-2024,SKU_0025,22,D,PCK_001,32,1819.53,1,High
ORD_00208,07-03-2024,09-03-2024,SKU_0119,13,B,PCK_003,98,13719.13,1,High
ORD_00209,01-03-2024,02-03-2024,SKU_0112,27,D,PCK_017,38,18286.51,0,Medium
ORD_00210,06-03-2024,09-03-2024,SKU_0031,44,D,PCK_020,88,4191.56,1,Low
ORD_00211,02-06-2024,03-06-2024,SKU_0250,3,A,PCK_001,52,14963.52,1,Low
ORD_00212,27-06-2024,30-06-2024,SKU_0283,39,A,PCK_014,28,17377.69,1,High
ORD_00213,19-01-2024,23-01-2024,SKU_0272,8,C,PCK_009,34,11128.11,1,High
ORD_00214,30-05-2024,03-06-2024,SKU_0258,5,B,PCK_014,25,6543.63,0,High
ORD_00215,26-01-2024,30-01-2024,SKU_0050,42,B,PCK_017,13,5251.87,1,High
ORD_00216,08-03-2024,10-03-2024,SKU_0099,46,C,PCK_020,98,18687.53,1,Medium
ORD_00217,18-01-2024,20-01-2024,SKU_0137,13,A,PCK_013,36,9206.92,1,Medium
ORD_00218,24-02-2024,26-02-2024,SKU_0208,12,B,PCK_015,45,21277.17,1,Low
ORD_00219,13-02-2024,14-02-2024,SKU_0116,20,A,PCK_010,23,23972.80,1,Low
ORD_00220,12-02-2024,15-02-2024,SKU_0017,19,D,PCK_003,104,12022.82,0,Medium
ORD_00221,13-02-2024,16-02-2024,SKU_0194,20,D,PCK_018,13,11490.96,1,High
ORD_00222,18-04-2024,20-04-2024,SKU_0005,21,A,PCK_006,108,10092.38,1,Medium
ORD_00223,10-03-2024,11-03-2024,SKU_0223,46,A,PCK_011,112,1212.25,1,Low
ORD_00224,26-06-2024,27-06-2024,SKU_0022,7,B,PCK_008,66,2778.27,1,Low
ORD_00225,17-01-2024,20-01-2024,SKU_0291,16,C,PCK_016,23,2088.91,1,High
ORD_00226,18-02-2024,22-02-2024,SKU_0039,34,A,PCK_009,13,15285.45,1,High
ORD_00227,08-06-2024,11-06-2024,SKU_0162,19,B,PCK_001,28,1061.85,1,Low
ORD_00228,01-05-2024,04-05-2024,SKU_0074,45,A,PCK_013,119,1934.50,1,Medium
ORD_00229,19-03-2024,21-03-2024,SKU_0084,36,B,PCK_019,67,5641.13,1,Low
ORD_00230,12-05-2024,13-05-2024,SKU_0200,49,C,PCK_018,57,4112.59,1,Medium
ORD_00231,06-04-2024,09-04-2024,SKU_0072,28,C,PCK_003,27,5904.99,1,High
ORD_00232,02-04-2024,03-04-2024,SKU_0051,45,B,PCK_014,84,23361.28,1,High
ORD_00233,27-04-2024,01-05-2024,SKU_0175,47,D,PCK_020,79,12656.08,1,Medium
ORD_00234,03-02-2024,06-02-2024,SKU_0016,11,D,PCK_009,79,21075.16,1,Medium
ORD_00235,06-06-2024,10-06-2024,SKU_0117,10,D,PCK_012,99,5471.94,1,Medium
ORD_00236,14-04-2024,17-04-2024,SKU_0096,45,D,PCK_019,86,1092.70,1,High
ORD_00237,13-02-2024,16-02-2024,SKU_0152,42,A,PCK_008,118,23546.64,0,High
ORD_00238,22-04-2024,25-04-2024,SKU_0138,37,D,PCK_005,35,9734.40,1,Low
ORD_00239,12-05-2024,14-05-2024,SKU_0079,36,C,PCK_013,30,23465.16,1,Medium
ORD_00240,08-04-2024,10-04-2024,SKU_0055,35,A,PCK_003,13,18334.51,1,Medium
ORD_00241,24-01-2024,28-01-2024,SKU_0228,46,C,PCK_012,66,19255.07,1,High
ORD_00242,09-05-2024,10-05-2024,SKU_0068,24,B,PCK_003,69,18908.69,1,Medium
ORD_00243,16-01-2024,18-01-2024,SKU_0230,42,D,PCK_018,94,7427.27,1,High
ORD_00244,29-01-2024,01-02-2024,SKU_0014,28,C,PCK_003,101,6550.98,1,Low
ORD_00245,26-06-2024,30-06-2024,SKU_0048,31,C,PCK_020,19,9594.57,1,Medium
ORD_00246,16-05-2024,18-05-2024,SKU_0007,45,D,PCK_010,86,2101.47,0,Medium
ORD_00247,20-01-2024,24-01-2024,SKU_0044,43,B,PCK_018,116,15682.64,1,Low
ORD_00248,06-05-2024,08-05-2024,SKU_0267,7,D,PCK_006,77,10571.84,1,High
ORD_00249,06-05-2024,08-05-2024,SKU_0072,11,C,PCK_009,24,18444.99,0,Medium
ORD_00250,11-06-2024,15-06-2024,SKU_0253,42,A,PCK_005,24,23452.15,1,High
ORD_00251,15-04-2024,16-04-2024,SKU_0223,21,D,PCK_009,23,12614.79,1,Medium
ORD_00252,03-06-2024,06-06-2024,SKU_0248,24,C,PCK_003,12,5353.39,1,Medium
ORD_00253,12-05-2024,13-05-2024,SKU_0127,41,B,PCK_016,98,15408.92,1,Medium
ORD_00254,16-03-2024,19-03-2024,SKU_0055,7,C,PCK_005,77,6648.68,1,High
ORD_00255,21-02-2024,22-02-2024,SKU_0203,34,D,PCK_011,42,24522.66,1,Medium
ORD_00256,06-02-2024,07-02-2024,SKU_0226,49,D,PCK_011,52,19896.65,1,Low
ORD_00257,16-05-2024,18-05-2024,SKU_0070,1,C,PCK_010,79,11728.37,1,Low
ORD_00258,09-02-2024,11-02-2024,SKU_0103,2,C,PCK_016,14,16772.60,1,High
ORD_00259,02-01-2024,06-01-2024,SKU_0204,39,C,PCK_011,25,11773.98,1,Low
ORD_00260,26-01-2024,29-01-2024,SKU_0252,10,B,PCK_019,97,13056.31,0,Medium
ORD_00261,26-02-2024,27-02-2024,SKU_0193,7,D,PCK_009,72,5433.41,0,Medium
ORD_00262,12-06-2024,15-06-2024,SKU_0059,22,B,PCK_019,35,19081.41,1,Low
ORD_00263,28-05-2024,29-05-2024,SKU_0280,28,A,PCK_006,113,16660.92,1,Low
ORD_00264,01-02-2024,05-02-2024,SKU_0237,26,D,PCK_007,114,24632.25,1,Medium
ORD_00265,26-05-2024,27-05-2024,SKU_0036,3,D,PCK_014,75,2806.72,0,High
ORD_00266,17-02-2024,19-02-2024,SKU_0156,6,C,PCK_008,106,12696.41,1,Low
ORD_00267,04-02-2024,05-02-2024,SKU_0079,43,D,PCK_014,32,10235.84,1,High
ORD_00268,21-05-2024,24-05-2024,SKU_0230,10,D,PCK_020,60,5492.28,1,Low
ORD_00269,05-02-2024,06-02-2024,SKU_0206,21,D,PCK_018,101,14651.04,1,Low
ORD_00270,18-04-2024,21-04-2024,SKU_0019,46,A,PCK_012,18,5298.10,1,High
ORD_00271,08-05-2024,12-05-2024,SKU_0128,12,B,PCK_012,51,17549.53,1,Low
ORD_00272,05-01-2024,08-01-2024,SKU_0023,27,D,PCK_019,89,9395.97,1,Medium
ORD_00273,04-01-2024,06-01-2024,SKU_0221,1,A,PCK_004,49,3947.43,1,High
ORD_00274,05-04-2024,06-04-2024,SKU_0133,48,B,PCK_008,17,18449.56,1,Medium
ORD_00275,28-05-2024,30-05-2024,SKU_0192,19,D,PCK_013,13,15574.80,0,Low
ORD_00276,10-04-2024,13-04-2024,SKU_0257,16,C,PCK_005,21,12877.57,0,High
ORD_00277,09-01-2024,12-01-2024,SKU_0248,30,C,PCK_004,118,3499.63,1,Medium
ORD_00278,15-02-2024,19-02-2024,SKU_0044,31,B,PCK_004,13,22107.23,1,Medium
